ptr,size,timestamp_alloc,timestamp_free,lifetime_ns,source,active
0x5dedc24f3c30,68,485271284268,485271285888,1620,malloc,0
0x5dedc24fcd10,72,485271284638,0,491306130,malloc,1
0x5dedc24fcd60,68,485271284833,0,491307161,malloc,1
0x5dedc25ddfb0,32288,485271294036,0,491299231,malloc,1
0x5dedc24f3c30,67,485271323310,485271325523,2213,malloc,0
0x5dedc24fcdb0,72,485271323728,0,491272117,malloc,1
0x5dedc24fce00,67,485271324001,0,491273055,malloc,1
0x5dedc25e5de0,15320,485271330015,0,491268283,malloc,1
0x5dedc24f3c30,62,485271344852,485271347475,2623,malloc,0
0x5dedc24fce50,72,485271345342,0,491255564,malloc,1
0x5dedc24fcea0,62,485271345660,0,491256452,malloc,1
0x5dedc25e99c0,23752,485271355322,0,491248037,malloc,1
0x5dedc24f3c30,57,485271373914,485271378680,4766,malloc,0
0x5dedc24fcef0,72,485271374258,0,491231642,malloc,1
0x5dedc24fcf40,57,485271377420,0,491229675,malloc,1
0x5dedc25ef690,45072,485271816492,0,490791901,malloc,1
0x5dedc24f3c30,68,485271882729,485271887080,4351,malloc,0
0x5dedc24fcf90,72,485271883389,0,490727558,malloc,1
0x5dedc24fcfe0,68,485271883778,0,490728367,malloc,1
0x5dedc25fa6b0,44496,485271900431,0,490713023,malloc,1
0x5dedc24f3c30,68,485272047938,485272051718,3780,malloc,0
0x5dedc24fd030,72,485272048631,0,490567366,malloc,1
0x5dedc24fd080,68,485272049083,0,490568116,malloc,1
0x5dedc2605490,45808,485272153649,0,490464802,malloc,1
0x5dedc24f3c30,68,485272247539,485272252977,5438,malloc,0
0x5dedc24f5540,72,485272249743,0,490371250,malloc,1
0x5dedc24f5590,68,485272250255,0,490371937,malloc,1
0x5dedc2610790,18904,485272258324,0,490365095,malloc,1
0x5dedc24f3c30,63,485272278421,485272281501,3080,malloc,0
0x5dedc24f55e0,72,485272279159,0,490346871,malloc,1
0x5dedc24f5630,63,485272279462,0,490347768,malloc,1
0x5dedc2615170,33616,485272441858,0,490186617,malloc,1
0x5dedc24f3c30,58,485272478322,485272481900,3578,malloc,0
0x5dedc24f5680,72,485272479277,0,490151733,malloc,1
0x5dedc24f56d0,58,485272479618,0,490152585,malloc,1
0x5dedc261d4d0,53120,485272529780,0,490103669,malloc,1
0x5dedc24f3c30,69,485272586982,485272591270,4288,malloc,0
0x5dedc24f5720,72,485272588206,0,490047763,malloc,1
